English,inuktitut
I hope Tom doesn't lie to us.," , ᓴᓪᓗᔪᒃᓴᐅᖏᒃᑲᓗᐊᖅᐳᖅ , ᑖᒥ."
I hope Tom doesn't lose.," , ᑖᒻ , ᔭᒐᔪᒃᓴᐅᖏᒃᑲᓗᐊᖅᐳᖅ."
I hope Tom doesn't mind if I leave early.," , ᑖᒻ , ᖃᓄᐃᑦᓴᑐᖏᑦᑕᖅ , ᐊᓂᓴᕋᐃᒃᑯᒪ."
I hope Tom doesn't notice.," , ᑖᒻ , ᐅᔾᔨᕆᔪᒃᓴᐅᖏᒻᒪᒍ."
I hope Tom doesn't waste our time.," , ᑕᐃᒪᑐᖅ , ᑖᒻ , ᐱᕕᒃᓴᕗᑦ , ᐊᑐᙱᑐᐃᓐᓇᙱᒃᑲᓗᐊᖅᐳᖅ."
I hope Tom finds happiness in his life.," , ᑖᒻ , ᖁᕕᐊᓱᖁᓇᖅᐳᖅ , ᐃᓅᓯᖓᓂ."
I hope Tom gets better soon.," , ᑖᒻ , ᐱᐅᓯᕙᓪᓕᐊᖁᓇᖅᐳᖅ."
I hope Tom goes to Australia.," , ᑖᒻ , ᐋᔅᑐᕋᐃᓕᐊᓕᐊᖁᓇᖅᐳᖅ."
I hope Tom is OK.," , ᑖᒻ , ᖃᓄᐃᔪᒃᓴᐅᖏᑦᑐᖅ."
I hope Tom is all right.," , ᑖᒻ , ᖃᓄᐃᔪᒃᓴᐅᖏᒃᑲᓗᐊᖅᐳᖅ."
I hope Tom is awake.," , ᑖᒻ , ᐃᖅᑯᒻᒪᖅᑐᒃᓴᐅᕗᖅ."
I hope Tom is careful.," , ᑖᒻ , ᐅᔾᔨᑐᖅᑐᒃᓴᐅᕗᖅ."
I hope Tom is coming.," , ᑖᒻ , ᖃᐃᔪᒃᓴᐅᕗᖅ."
I hope Tom is done.," , ᑖᒻ , ᐱᔭᕇᖅᑐᔅᓴᐅᒐᓗᐊᖅᐳᖅ."
I hope Tom is full.," , ᑖᒻ , ᑕᑕᑦᑐᔅᓴᐅᕗᖅ."
I hope Tom is going to be OK.," , ᑖᒻ , ᖃᓄᐃᑦᓴᑐᒋᙱᑕᕋ."
I hope Tom is happy.," , ᑖᒻ , ᖁᕕᐊᓱᖁᓇᖅᐳᖅ."
I hope Tom is having a good time.," , ᑖᒥ , ᖁᕕᐊᓱᖁᓇᕋᓗᐊᖅᐳᖅ."
I hope Tom is having a lot of fun.," , ᑖᒻ , ᖁᕕᐊᓱᖁᓇᕋᓗᐊᖅᐳᖅ."
I hope Tom is mistaken.," , ᑖᒻ , ᑕᒻᒪᖅᑐᒃᓴᐅᕗᖅ."
I hope Tom is prudent.," , ᑖᒻ , ᖃᐅᔨᒪᑦᑎᐊᖅᑐᒃᓴᐅᕗᖅ."
I hope Tom is right.," , ᑖᒻ , ᓱᓕᔪᒃᓴᐅᕗᖅ."
I hope Tom is safe.," , ᑖᒻ , ᖃᓄᐃᖁᓇᙱᒃᑲᓗᐊᖅᐳᖅ."
I hope Tom is unbiased.," , ᑖᒻ , ᐃᓚᐃᓐᓈᖅᑐᒃᓴᐅᕗᖅ."
I hope Tom is well.," , ᑖᒻ , ᖃᓄᐃᙱᑦᑎᐊᑐᔅᓴᐅᕗᖅ."
I hope Tom is wrong.," , ᑖᒻ , ᑕᒻᒪᖅᑐᔅᓴᐅᕗᖅ."
I hope Tom isn't asleep.," , ᑖᒻ , ᓯᓂᖁᓇᙱᒃᑲᓗᐊᖅᐳᖅ."
I hope Tom isn't dangerous.," , ᑖᒻ , ᐊᑦᑕᓇᖁᓇᙱᒃᑲᓗᐊᖅᐳᖅ."
I hope Tom isn't forgiven for doing that.," , ᑖᒻ , ᐃᓱᒪᒋᔪᓐᓇᐃᖅᑕᐅᔪᒃᓴᐅᖏᒃᑲᓗᐊᖅᐳᖅ , ᑕᐃᒪᐃᓕᐅᕐᓂᖓᓄᑦ."
I hope Tom isn't here.," , ᑖᒥ , ᑕᕝᕙᓃᖁᓇᓐᖏᒃᑲᓗᐊᖅᐳᖅ."
I hope Tom isn't home on Monday.," , ᑖᒻ , ᐊᖏᕐᕋᓛᖅᑐᒃᓴᐅᖏᒃᑲᓗᐊᖅᐳᖅ , ᓇᒡᒐᔾᔭᐅᒥ."
I hope Tom isn't home on October 20th.," , ᑖᒻ , ᐊᖏᕐᕋᓛᖅᑐᒃᓴᐅᙱᒃᑲᓗᐊᖅᐳᖅ , ᐅᑐᐱᕆ , 20-ᒥ."
I hope Tom isn't late.," , ᑖᒻ , ᑭᖑᕙᖁᓇᓐᖏᒃᑲᓗᐊᖅᐳᖅ."
I hope Tom isn't lost.," , ᑖᒻ , ᔭᒐᔪᒃᓴᐅᖏᒃᑲᓗᐊᖅᐳᖅ."
I hope Tom isn't lying to us.," , ᑖᒥ , ᓴᒡᓗᔪᒃᓴᐅᖏᒃᑲᓗᐊᖅᐳᖅ."
I hope Tom isn't lying.," , ᑖᒥ , ᓴᒡᓗᔪᒃᓴᐅᖏᒃᑲᓗᐊᖅᐳᖅ."
I hope Tom isn't offended.," , ᑖᒻ , ᐊᑭᕋᖅᑐᖅᑕᐅᔪᒃᓴᐅᖏᒃᑲᓗᐊᖅᐳᖅ."
I hope Tom isn't still mad at me.," , ᑖᒻ , ᓱᓕ , ᓂᓐᖓᐅᒪᔪᒃᓴᐅᖏᒃᑲᓗᐊᖅᐳᖅ."
I hope Tom isn't still unemployed.," , ᑖᒻ , ᓱᓕ , ᐃᖅᑲᓇᐃᔭᖁᓇᙱᒃᑲᓗᐊᖅᐳᖅ."
I hope Tom isn't the only one who knows how to do that.," , ᑖᒥ , ᑖᓐᓇᑑᔪᒃᓴᐅᖏᒃᑲᓗᐊᖅᐳᖅ , ᖃᐅᔨᒪᔪᖅ , ᖃᓄᖅ , ᑕᐃᒪᐃᓕᐅᕆᐊᒃᓴᖅ."
I hope Tom kissed Mary.," , ᑖᒻ , ᑯᓂᓚᐅᖅᑐᒃᓴᐅᕗᖅ , ᒥᐊᓕ."
I hope Tom knows he doesn't have to do that.," , ᑖᒻ , ᖃᐅᔨᒪᔪᒃᓴᐅᕗᖅ , ᑕᐃᒪᐃᓕᐅᕆᐊᖃᙱᒻᒪᑦ."
I hope Tom knows how fix this.," , ᑖᒻ , ᖃᐅᔨᒪᔪᒃᓴᐅᕗᖅ , ᖃᓄᖅ , ᑕᒪᓐᓇ , ᐋᖅᑭᒃᑕᐅᓚᐅᕐᒪᖔᑦ."
I hope Tom knows how to fix this.," , ᑖᒻ , ᖃᐅᔨᒪᔪᒃᓴᐅᕗᖅ , ᖃᓄᖅ , ᑕᒪᓐᓇ , ᐋᖅᑭᒋᐊᕈᓐᓇᕐᒪᖔᒃᑯ."
I hope Tom knows what needs to be done.," , ᑖᒻ , ᖃᐅᔨᒪᔪᒃᓴᐅᕗᖅ , ᖃᓄᐃᓕᐅᖅᑐᖃᕆᐊᖃᕐᒪᖔᖅ."
I hope Tom knows what to do.," , ᑖᒻ , ᖃᐅᔨᒪᔪᒃᓴᐅᕗᖅ , ᖃᓄᐃᓕᐅᕆᐊᖃᕐᒪᖔᑦ."
I hope Tom knows who did that.," , ᑖᒻ , ᖃᐅᔨᒪᔪᒃᓴᐅᕗᖅ , ᑭᓇ , ᑕᐃᒪᐃᓚᐅᕐᒪᖔᖅ."
I hope Tom learned his lesson.," , ᑖᒻ , ᐃᓕᑦᑎᔪᒃᓴᐅᕗᖅ."
I hope Tom likes me.," , ᑖᒻ , ᐱᐅᒋᔭᔅᓴᕆᒐᓗᐊᖅᐸᕋ."
I hope Tom likes my present.," , ᑖᒻ , ᐱᐅᒋᔭᔅᓴᕆᒐᓗᐊᖅᐸᕋ."
I hope Tom likes the present I bought for him.," , ᑖᒻ , ᐱᐅᒋᔭᔅᓴᕆᒐᓗᐊᖅᐸᕋ , ᒫᓐᓇ , ᓂᐅᕕᓚᐅᖅᑕᕋ."
I hope Tom likes the present that I bought for him.," , ᑖᒻ , ᐱᐅᒋᔭᔅᓴᕆᒐᓗᐊᖅᐸᕋ , ᓂᐅᕕᓚᐅᖅᑕᕋ."
I hope Tom likes what I bought for him.," , ᑖᒻ , ᐱᐅᒋᔭᔅᓴᕆᒐᓗᐊᖅᐸᕋ , ᓂᐅᕕᐊᕆᓚᐅᖅᑕᓐᓂᒃ."
I hope Tom loses.," , ᑖᒻ , ᓵᓚᐅᔪᒃᓴᐅᕗᖅ."
I hope Tom marries Mary.," , ᑖᒻ , ᒫᕆᐊᔅ , ᒥᐊᓕ."
I hope Tom passes his driver's test.," , ᑖᒻ , ᐊᓂᒍᐃᖁᓇᖅᐳᖅ , ᐊᖁᑎᐅᑉ , ᖃᐅᔨᓴᕈᑎᖓᓂᒃ."
I hope Tom passes the examination.," , ᑖᒻ , ᖃᐅᔨᓴᖅᑕᐅᖁᓇᕋᓗᐊᖅᐳᖅ."
I hope Tom remembered to shave.," , ᐃᖅᑲᐅᒪᔪᒃᓴᐅᒐᓗᐊᖅᐳᖓ."
I hope Tom says no.," , ᑖᒻ , ᐋᒡᒑᖅᑐᒃᓴᐅᕗᖅ."
I hope Tom says yes.," , ᑖᒻ , ᐊᖏᖅᑐᒃᓴᐅᕗᖅ."
I hope Tom stays in Australia.," , ᑖᒻ , ᐋᔅᑐᕋᐃᓕᐊᒦᖁᓇᖅᐳᖅ."
I hope Tom stays in Boston.," , ᑖᒻ , ᐹᔅᑕᓐᒦᖁᓇᖅᐳᖅ."
I hope Tom understands.," , ᑖᒻ , ᑐᑭᓯᔪᒃᓴᐅᕗᖅ."
I hope Tom waits for us.," , ᑖᒥ , ᐅᑕᖅᑭᔪᒃᓴᐅᕗᖅ."
I hope Tom waits until we get there.," , ᑖᒥ , ᐅᑕᖅᑭᔪᒃᓴᐅᕗᖅ , ᑕᐃᑯᖓ , ᑎᑭᒐᓱᐊᕐᓂᑎᓐᓂᑦ."
I hope Tom wasn't mistaken.," , ᑖᒻ , ᑕᒻᒪᖅᑐᔅᓴᐅᕋᑖᙱᒻᒪᑦ."
I hope Tom wasn't offended.," , ᑖᒻ , ᑲᑕᑦᑐᔅᓴᐅᓐᖏᒃᑲᓗᐊᖅᐳᖅ."
I hope Tom will agree to do that.," , ᑖᒻ , ᐊᖏᕐᓂᐊᑐᔅᓴᐅᕗᖅ."
I hope Tom will be happy in Australia.," , ᑖᒻ , ᖁᕕᐊᓱᖁᓇᖅᐳᖅ , ᐋᔅᑐᕋᐃᓕᐊᒥ."
I hope Tom will come.," , ᑖᒻ , ᖃᐃᖁᓇᖅᐳᖅ."
I hope Tom will help us.," , ᑖᒻ , ᐃᑲᔪᖁᓇᕋᓗᐊᖅᐳᖅ."
I hope Tom will like Australia.," , ᑖᒻ , ᐋᔅᑐᕋᐃᓕᐊᒥᑦ , ᐱᓂᐊᖅᑐᒃᓴᐅᕗᖅ."
I hope Tom will like Boston.," , ᑖᒻ , ᐹᔅᑕᓐᑎᑑᖁᓇᕋᓗᐊᖅᐳᖅ."
I hope Tom will understand me.," , ᑖᒻ , ᑐᑭᓯᓂᐊᖅᑐᔅᓴᐅᒐᓗᐊᖅᑯᖓ."
I hope Tom will understand.," , ᑖᒻ , ᑐᑭᓯᔪᒃᓴᐅᕗᖅ."
I hope Tom wins on Monday.," , ᑖᒻ , ᓵᓚᒃᓴᓛᖅᑐᒃᓴᐅᕗᖅ , ᓇᒃᑲᔾᔭᒥ."
I hope Tom wins the race.," , ᑖᒻ , ᓵᓚᒃᓴᖅᑐᒃᓴᐅᕗᖅ."
I hope Tom wins.," , ᑖᒻ , ᓵᓚᒃᓴᖅᑐᒃᓴᐅᕗᖅ."
I hope Tom won't be there.," , ᑖᒥ , ᑕᐃᑲᓃᔾᔮᔪᒃᓴᐅᖏᒃᑲᓗᐊᖅᐳᖅ."
I hope Tom won't do that.," , ᑖᒻ , ᑕᐃᒪᐃᖁᓇᙱᒃᑲᓗᐊᖅᐳᖅ."
I hope Tom won't frighten Mary.," , ᑖᒻ , ᑲᑉᐱᐊᓱᖁᓇᓐᖏᒃᑲᓗᐊᖅᐳᖅ , ᒥᐊᓕᒧᑦ."
I hope Tom's all right.," , ᑖᒻ , ᑕᒻᒪᔪᒃᓴᐅᖏᒃᑲᓗᐊᖅᐳᖅ."
I hope Tom's right.," , ᑖᒻ , ᑕᒻᒪᖁᓇᙱᓚᖅ."
I hope Tom's wrong.," , ᑖᒻ , ᑕᒻᒪᖅᑐᒃᓴᐅᕗᖅ."
I hope all of them will come in time.," , ᓂᕆᐅᑉᐳᖓ , ᐃᓘᓐᓇᑎᒃ , ᑎᑭᓛᕆᐊᖏᑦ."
I hope everyone agrees.," , ᐊᖏᖅᑐᐃᓐᓇᐅᔪᒃᓴᐅᒐᓗᐊᖅᐳᓯ."
I hope everyone had a great time.," , ᖁᕕᐊᓱᑦᑎᐊᖁᓇᖅᑐᐃᓐᓇᐅᒐᓗᐊᖅᐳᓯ."
I hope everyone will be here tomorrow.," , ᑕᕝᕙᓃᑦᑐᐃᓐᓇᐅᓂᐊᖅᑐᔅᓴᐅᒐᓗᐊᖅᐳᑦ , ᖃᐅᑉᐸᑦ."
I hope everything is fine at home.," , ᓂᕆᐅᑉᐳᖓ , ᑭᓱᓕᒫᑦ , ᖃᓄᐃᓐᖏᒃᑲᓗᐊᖅᐳᑦ , ᐊᖏᕐᕋᒥ."
I hope everything is okay.," , ᖃᓄᐃᖁᓇᓐᖏᒃᑲᓗᐊᖅᐳᖅ."
I hope everything's going well with you.," , ᑲᔪᓯᑦᑎᐊᖁᓇᕋᓗᐊᖅᐳᖅ."
I hope he will come.," , ᖃᐃᖁᓇᖅᐳᖅ."
I hope he'll be able to come! I'd like to see him.," , ᖃᐃᔪᓐᓇᖅᑐᒃᓴᐅᕗᖅ! , ᑕᑯᔪᒪᔭᕋ."
I hope it does not rain tomorrow.," , ᖃᐅᑉᐸᑦ , ᒪᖁᔾᔮᔪᒃᓴᐅᖏᑦᑐᖅ."
I hope it doesn't ever happen.," , ᑕᐃᒪᐃᖁᓇᙱᒃᑲᓗᐊᖅᐳᖅ."
I hope it doesn't rain today.," , ᐅᓪᓗᒥ , ᒪᖁᖁᓇᙱᒃᑲᓗᐊᖅᐳᖅ."
I hope it doesn't rain tomorrow.," , ᖃᐅᑉᐸᖅᑲᐃ , ᒪᖁᔾᔮᔪᒃᓴᐅᖏᑦᑐᖅ."
I hope it doesn't snow today.," , ᐅᓪᓗᒥᖃᐃ , ᖃᓐᓂᖅᑐᒃᓴᐅᖏᒃᑲᓗᐊᖅᐳᖅ."
I hope it doesn't snow tomorrow.," , ᐊᖃᒍᖃᐃ , ᐊᐳᑎᖃᔾᔮᔪᒃᓴᐅᖏᑦᑐᖅ."
I hope it helps.," , ᐃᑲᔪᕐᓂᖃᖅᑐᒃᓴᐅᕗᖅ."
I hope it rains.," , ᒪᖁᖁᓇᕋᓗᐊᖅᐳᖅ."
I hope it was worth it.," , ᐊᑑᑎᖃᖅᑐᒃᓴᐅᒐᓗᐊᖅᐳᖅ."
I hope it won't be long before I hear from Tom.," , ᐊᑯᓂᐅᓂᐊᖅᑐᔅᓴᐅᓐᖏᓚᖅ , ᑐᓴᓚᐅᙱᓂᓐᓂ , ᑖᒻᒥᑦ."
I hope it won't rain tomorrow.," , ᖃᐅᑉᐸᑦ , ᒪᖁᔾᔮᔪᒃᓴᐅᖏᒃᑲᓗᐊᖅᐳᖅ."
I hope it'll be a warm summer.," , ᐊᐅᔭᐅᓂᐊᖅᑐᔅᓴᐅᒐᓗᐊᖅᐳᖅ."
I hope it'll be fine tomorrow.," , ᖃᓄᐃᖁᓇᙱᓚᖅ , ᖃᐅᑉᐸᑦ."
I hope it's enough.," , ᓈᒻᒪᖁᓇᕋᓗᐊᖅᐳᖅ."
I hope it's not Tom.," , ᑖᒻᖑᔪᒃᓴᐅᖏᒃᑲᓗᐊᖅᐳᖅ."
I hope it's not raining tomorrow.," , ᖃᐅᑉᐸᖃᐃ , ᒪᖁᔾᔮᔪᒃᓴᐅᖏᑦᑐᖅ."
I hope it's not true.," , ᑕᒪᓐᓇ , ᓱᓕᔪᒃᓴᐅᖏᒃᑲᓗᐊᖅᐳᖅ."
I hope it's sunny tomorrow.," , ᖃᐅᑉᐸᑦ , ᓯᕿᓐᓂᓛᖅᑐᔅᓴᐅᕗᖅ."
I hope it's true.," , ᑕᒪᓐᓇ , ᓱᓕᔪᒃᓴᐅᕗᖅ."
I hope it's worth it.," , ᐊᑑᑎᖃᖅᑐᒃᓴᐅᒐᓗᐊᖅᐳᖅ."
I hope my dream comes true.," , ᓯᓐᓇᑦᑑᒪᒐ , ᓱᓕᔪᒃᓴᐅᕗᖅ."
I hope my dream will come true.," , ᓯᓐᓇᑦᑑᒪᒐ , ᓱᓕᔪᒃᓴᐅᕗᖅ."
I hope next time will be better than last time.," , ᑭᖑᓪᓕᕐᒥ , ᐊᑲᐅᓂᖅᓴᐅᖁᓇᖅᐳᖅ."
I hope no one saw me kissing Tom.," , ᑕᑯᔪᖃᕐᓂᕈᒪᙱᓚᖓ , ᑯᓂᑦᑐᓂ , ᑖᒻᒥᑦ."
I hope no one saw you.," , ᑕᑯᔪᖃᖁᓇᙱᒃᑲᓗᐊᖅᐳᖅ."
I hope no one sits in front of us.," , ᐃᒃᓯᕚᖅᑐᖃᖁᓇᓐᖏᒃᑲᓗᐊᖅᐳᖅ , ᓵᑦᑎᓐᓂ."
I hope no one takes my tools.," , ᐊᑐᖁᓇᙱᒃᑲᓗᐊᖅᐳᖅ , ᓴᓇᕐᕈᑎᓐᓂᒃ."
I hope nobody breaks into my apartment.," , ᓱᕋᖁᓇᓐᖏᒃᑲᓗᐊᖅᐳᖅ , ᐅᕙᖓ , ᐃᓪᓗᖓᓄᑦ."
I hope nobody followed you.," , ᒪᓕᑦᑕᐅᖁᓇᙱᓚᓯ."
I hope nobody saw me kissing Tom.," , ᑯᓂᒍᒪᔭᔅᓴᕆᒐᓗᐊᖅᐸᕋ , ᑖᒻ."
I hope nobody saw you doing that.," , ᑕᑯᔪᖃᓚᐅᖅᑐᒃᓴᐅᖏᒃᑲᓗᐊᖅᐳᖅ."
I hope nobody steals my stuff.," , ᑎᓪᓕᑦᑐᖃᖁᓇᓐᖏᒃᑲᓗᐊᖅᐳᖅ , ᐅᕙᖓ , ᐱᖁᑎᖏᓐᓂᑦ."
I hope not.," , ᐋᒡᒐᖃᐃ."
I hope nothing bad will happen.," , ᐱᐅᙱᑦᑐᒥᒃ , ᓴᖅᑭᑦᑐᖃᖁᓇᙱᒃᑲᓗᐊᖅᐳᖅ."
I hope she's safe.," , ᖃᓄᐃᖁᓇᙱᒃᑲᓗᐊᖅᐳᖅ."
"I hope so, too."," , ᐄᖑᔪᒃᓴᐅᕗᖅᑕᐅᖅ."
I hope so.," , ᑕᐃᒪᑐᖅ."
I hope somebody will do that.," , ᑕᐃᒪᐃᖁᓇᕋᓗᐊᖅᐳᖅ."
I hope someone comes to help us.," , ᐃᑲᔪᖅᑕᐅᔪᒪᔪᖃᕐᓂᐊᖅᑐᒃᓴᐅᕗᖅ."
I hope someone is recording this.," , ᑖᓐᓇ , ᓂᐱᓕᐅᖅᑕᐅᖁᓇᕋᓗᐊᖅᐳᖅ."
I hope someone will do that.," , ᑕᐃᒪᐃᖁᓇᕋᓗᐊᖅᐳᖅ."
I hope that I can do it.," , ᑕᐃᒪᐃᒍᓐᓇᑐᑦᓴᐅᔪᖅ."
I hope that I can sing with you someday.," , ᐃᓐᖏᖃᑎᒋᔪᓐᓇᓛᖅᑕᔅᓴᕆᒐᓗᐊᖅᐸᒋᑦ."
I hope that I pass the exam.," , ᐊᓂᒍᐃᖁᓇᕋᓗᐊᖅᐳᖓ , ᖃᐅᔨᓴᖅᑕᐅᔾᔪᑎᓐᓂᒃ."
I hope that I'm not making a mistake.," , ᑕᒻᒪᖏᒃᑲᓗᐊᕈᒪ."
I hope that Tom comes on Monday.," , ᑖᒻ , ᓇᒃᑲᔾᔭᒥ , ᓴᖅᑭᓛᖅᑐᒃᓴᐅᕗᖅ."
I hope that Tom comes to my party tonight.," , ᑖᒻ , ᖃᐃᖁᓇᖅᐳᖅ , ᐅᓐᓄᒃ."
I hope that Tom comes.," , ᑖᒻ , ᖃᐃᖁᓇᖅᐳᖅ."
I hope that Tom doesn't go to Australia with Mary.," , ᑖᒻ , ᐋᔅᑐᕋᐃᓕᐊᓕᐊᖁᓇᙱᒃᑲᓗᐊᖅᐳᖅ , ᒥᐊᓕᒧᑦ."
I hope that Tom doesn't lie to us.," , ᑖᒥ , ᓴᓪᓗᖁᓇᙱᒃᑲᓗᐊᖅᐳᖅ."
I hope that Tom goes to Australia.," , ᑖᒻ , ᐋᔅᑐᕋᐃᓕᐊᒨᖁᓇᖅᐳᖅ."
I hope that Tom is awake.," , ᑖᒻ , ᐃᖅᑯᒻᒪᖅᑐᒃᓴᐅᕗᖅ."
I hope that Tom is full.," , ᑖᒻ , ᑕᑕᑦᑐᔅᓴᐅᕗᖅ."
I hope that Tom isn't asleep.," , ᑖᒻ , ᓯᓂᖁᓇᙱᒃᑲᓗᐊᖅᐳᖅ."
I hope that Tom isn't dangerous.," , ᑖᒻ , ᐊᑦᑕᓇᖁᓐᖏᓚᖅ."
I hope that Tom likes the present I bought for him.," , ᑖᒻ , ᐱᐅᒋᔭᔅᓴᕆᒐᓗᐊᖅᐸᕋ , ᒫᓐᓇ , ᓂᐅᕕᓚᐅᖅᑕᕋ."
I hope that Tom likes the present that I bought for him.," , ᑖᒻ , ᐱᐅᒋᔭᔅᓴᕆᒐᓗᐊᖅᐸᕋ , ᐅᓪᓗᒥ , ᓂᐅᕕᓚᐅᖅᑕᕋ."
I hope that Tom marries Mary.," , ᑖᒻ , ᒫᑦᔅ , ᒥᐊᓕᖃᐃ."
I hope that Tom passes his driver's test.," , ᑖᒻ , ᐊᓂᒍᐃᖁᓇᖅᐳᖅ , ᐊᖁᓐᓂᕐᒧᑦ , ᖃᐅᔨᓴᕈᑎᒥᓂᒃ."
I hope that Tom passes the examination.," , ᑖᒻ , ᖃᐅᔨᓴᖅᑕᐅᖁᓇᕋᓗᐊᖅᐳᖅ."
I hope that Tom stays in Australia.," , ᑖᒻ , ᐋᔅᑐᕋᐃᓕᐊᒦᖏᓐᓇᖁᓇᖅᐳᖅ."
I hope that Tom waits for us.," , ᑖᒻ , ᐅᑕᖅᑭᔪᒃᓴᐅᕗᖅ."
I hope that Tom wasn't mistaken.," , ᑖᒻ , ᑕᒻᒪᕐᓂᖏᒃᑲᓗᐊᖅᐳᖅ."
I hope that Tom will be happy in Australia.," , ᑖᒻ , ᖁᕕᐊᓱᖁᓇᖅᐳᖅ , ᐋᔅᑐᕋᐃᓕᐊᒥ."
I hope that Tom will come.," , ᑖᒻ , ᖃᐃᖁᓇᖅᐳᖅ."
I hope that Tom will do that for me.," , ᑖᒻ , ᑕᐃᒪᐃᖁᓇᖅᐳᖅ , ᐅᕙᓐᓄᑦ."
I hope that Tom will like Australia.," , ᑖᒻ , ᐋᔅᑐᕋᐃᓕᐊᒥᑦ , ᐱᓂᐊᖅᑐᒃᓴᐅᕗᖅ."
I hope that Tom won't do that anymore.," , ᑖᒻ , ᑕᐃᒪᐃᖁᒍᓐᓃᖅᑕᔅᓴᕆᒐᓗᐊᖅᐸᕋ."
I hope that answers your question.," , ᑭᐅᔭᒃᓴᕆᒐᓗᐊᖅᐸᕋ , ᐊᐱᖅᑯᑏᑦ."
I hope that didn't offend you.," , ᑕᒪᓐᓇ , ᐃᓕᓐᓂᒃ , ᐊᑭᕋᖅᑐᖁᓇᙱᒃᑲᓗᐊᖅᐳᖅ."
I hope that doesn't ever happen.," , ᑕᐃᒪᐃᖁᓇᙱᒃᑲᓗᐊᖅᐳᖅ."
I hope that doesn't happen.," , ᑕᐃᒪᐃᖁᓇᙱᒃᑲᓗᐊᖅᐳᖅ."
I hope that everything goes well.," , ᑲᔪᓯᑦᑎᐊᖁᓇᕋᓗᐊᖅᐳᖅ."
I hope that he will come.," , ᖃᐃᖁᓇᖅᐳᖅ."
I hope that is not the case.," , ᑕᐃᒪᐃᖁᓇᙱᒃᑲᓗᐊᖅᐳᖅ."
I hope that isn't the case.," , ᑕᐃᒪᐃᖁᓇᙱᒃᑲᓗᐊᖅᐳᖅ."
I hope that it doesn't rain tomorrow.," , ᖃᐅᑉᐸᖅᑲᐃ , ᒪᖁᔾᔮᔪᒃᓴᐅᖏᑦᑐᖅ."
I hope that it doesn't snow tomorrow.," , ᖃᐅᑉᐸᖅᑲᐃ , ᐊᐳᑎᖃᔾᔮᔪᒃᓴᐅᖏᑦᑐᖅ."
I hope that it rains tomorrow.," , ᖃᐅᑉᐸᑦ , ᒪᖁᓛᖅᑐᔅᓴᐅᕗᖅ."
I hope that it won't rain tomorrow.," , ᖃᐅᑉᐸᑦ , ᒪᖁᔾᔮᔪᒃᓴᐅᖏᒃᑲᓗᐊᖅᐳᖅ."
I hope that it's not raining tomorrow.," , ᖃᐅᑉᐸᑦ , ᒪᖁᔾᔮᔪᒃᓴᐅᖏᒃᑲᓗᐊᖅᐳᖅ."
I hope that my sister will pass the entrance examination.," , ᓇᔭᒐ , ᖃᐅᔨᓴᖅᑕᐅᖁᓇᕋᓗᐊᖅᐳᖅ."
I hope that next time will be better than last time.," , ᑭᖑᓪᓕᕐᒥ , ᐊᑲᐅᓂᖅᓴᐅᖁᓇᖅᐳᖅ."
I hope that no one saw you coming in here.," , ᑕᑯᔪᖃᖁᓇᙱᒃᑲᓗᐊᖅᐳᖅ , ᑕᒪᐅᙵᖅᑐᓂᑦ."
I hope that that didn't offend you.," , ᑕᒪᓐᓇ , ᐃᓕᓐᓂᒃ , ᐊᑭᕋᖅᑐᖁᓇᙱᒃᑲᓗᐊᖅᐳᖅ."
I hope that that isn't the case.," , ᑕᐃᒪᐃᖁᓇᙱᒃᑲᓗᐊᖅᐳᖅ."
I hope that that's not the case.," , ᑕᐃᒪᐃᖁᓇᙱᒃᑲᓗᐊᖅᐳᖅ."
I hope that the exam is easy.," , ᖃᐅᔨᓴᖅᑕᐅᓂᖅ , ᐱᔭᕆᐊᑭᑦᑑᒐᓗᐊᖅᐳᖅ."
I hope that the weather will be dry.," , ᓯᓚ , ᐸᓂᖁᓇᕋᓗᐊᖅᐳᖅ."
I hope that they're OK.," , ᖃᓄᐃᖁᓇᙱᒃᑲᓗᐊᖅᐳᑦ."
I hope that this isn't a mistake.," , ᑕᒪᓐᓇ , ᑕᒻᒪᖅᑐᒃᓴᐅᙱᒃᑲᓗᐊᖅᐳᖅ."
I hope that this won't be our last date.," , ᑖᓐᓇ , ᑭᖑᓪᓕᖅᐹᕆᔾᔮᖏᑕᕋᓗᐊᖓ."
I hope that we can find water there.," , ᓇᓂᓯᒍᓐᓇᑐᑦᓴᐅᔪᖅ , ᐃᒥᕐᒥᒃ , ᑕᐃᑲᓂ."
I hope that we keep winning.," , ᓵᓚᒃᓴᐃᓐᓇᖁᓇᕋᓗᐊᖅᐳᖅ."
I hope that what you are eating is healthy.," , ᓂᕆᖃᑦᑕᖅᑕᑎᑦ , ᖃᓄᐃᙱᑦᑎᐊᖁᒐᓗᐊᖅᐸᒃᑲ."
I hope that won't happen.," , ᑕᐃᒪᐃᖁᓇᙱᒃᑲᓗᐊᖅᐳᖅ."
I hope that you aren't afraid.," , ᑲᑉᐱᐊᓱᖁᓇᙱᒃᑲᓗᐊᖅᐳᑎᑦ."
I hope that you can do that before 2:30.," , ᑕᐃᒪᐃᒍᓐᓇᑐᑦᓴᐅᔪᑦ , 2:30-ᕈᓚᐅᖅᑎᓐᓇᒍ."
